Ticker,Last Price,SMA50,SMA200,Golden Cross Date,Days Since Golden Cross
ASIANPAINT.NS,"Ticker
ASIANPAINT.NS    2528.699951
Name: 2025-08-14 00:00:00, dtype: float64",2371.5804833984375,2352.3983642578123,2025-08-12,5
TECHM.NS,"Ticker
TECHM.NS    1486.699951
Name: 2025-08-14 00:00:00, dtype: float64",1571.6847900390626,1571.1205456542968,2025-08-12,5
HINDUNILVR.NS,"Ticker
HINDUNILVR.NS    2480.600098
Name: 2025-08-14 00:00:00, dtype: float64",2408.50244140625,2351.908780517578,2025-07-28,20
HEROMOTOCO.NS,"Ticker
HEROMOTOCO.NS    4708.100098
Name: 2025-08-14 00:00:00, dtype: float64",4331.453916015625,4114.473193359375,2025-07-16,32
CIPLA.NS,"Ticker
CIPLA.NS    1564.0
Name: 2025-08-14 00:00:00, dtype: float64",1502.6402880859375,1477.5298760986327,2025-07-15,33
ADANIENT.NS,"Ticker
ADANIENT.NS    2281.600098
Name: 2025-08-14 00:00:00, dtype: float64",2506.88662109375,2444.310808105469,2025-07-14,34
HINDALCO.NS,"Ticker
HINDALCO.NS    695.25
Name: 2025-08-14 00:00:00, dtype: float64",671.4617407226563,641.8981149291992,2025-07-07,41
JIOFIN.NS,"Ticker
JIOFIN.NS    327.399994
Name: 2025-08-14 00:00:00, dtype: float64",315.1475115966797,281.9188722229004,2025-07-04,44
DRREDDY.NS,"Ticker
DRREDDY.NS    1260.400024
Name: 2025-08-14 00:00:00, dtype: float64",1277.6040307617188,1231.4270526123046,2025-06-30,48
LT.NS,"Ticker
LT.NS    3677.0
Name: 2025-08-14 00:00:00, dtype: float64",3593.316005859375,3485.8141955566407,2025-06-24,54
M&M.NS,"Ticker
M&M.NS    3265.399902
Name: 2025-08-14 00:00:00, dtype: float64",3155.26541015625,2955.768426513672,2025-06-13,65
TITAN.NS,"Ticker
TITAN.NS    3489.399902
Name: 2025-08-14 00:00:00, dtype: float64",3483.0545654296875,3351.1482580566408,2025-06-10,68
